id;product_id;product_name;category;quantity;revenue;cost;sold_at
SALE000001;SKU001;Беспроводная мышь Logitech;Электроника;24;33256.8;20740.8;2024-06-08 20:40:00+00
SALE000002;SKU002;Клавиатура механическая Redragon;Электроника;12;47880;26334.0;2024-06-08 12:40:00+00
SALE000003;SKU003;Монитор 24 дюйма Samsung;Электроника;5;64950;46764.0;2024-06-08 09:10:00+00
SALE000004;SKU004;USB-C кабель 1м;Аксессуары;44;17160;7207.2;2024-06-08 10:00:00+00
SALE000005;SKU005;Power Bank 20000 mAh;Аксессуары;13;31398.9;18450.9;2024-06-08 17:00:00+00
SALE000006;SKU006;Картридж HP 305;Расходники;24;35488.8;17935.2;2024-06-08 18:20:00+00
SALE000007;SKU007;Бумага А4 500 листов;Канцтовары;38;15960;9895.2;2024-06-08 12:00:00+00
SALE000008;SKU008;Ручки шариковые комплект;Канцтовары;24;5760;2246.4;2024-06-08 14:20:00+00
SALE000009;SKU009;SSD 1TB Kingston;Комплектующие;7;42249.9;30892.4;2024-06-08 12:10:00+00
SALE000010;SKU010;Оперативная память 16GB DDR4;Комплектующие;9;31722.3;21489.3;2024-06-08 17:10:00+00
SALE000011;SKU011;Роутер TP-Link Archer;Сетевое оборудование;16;52640;32110.4;2024-06-08 15:20:00+00
SALE000012;SKU012;Коммутатор 8 портов;Сетевое оборудование;8;16994.4;10512.0;2024-06-08 15:50:00+00
SALE000013;SKU013;Наушники JBL;Электроника;10;28405.0;16744.0;2024-06-08 15:40:00+00
SALE000014;SKU014;Веб-камера Full HD;Электроника;7;14563.5;8278.2;2024-06-08 16:00:00+00
SALE000015;SKU015;Коврик для мыши XL;Аксессуары;13;9756.5;4621.5;2024-06-08 16:40:00+00
SALE000016;SKU001;Беспроводная мышь Logitech;Электроника;15;20785.5;12963.0;2024-06-09 20:00:00+00
SALE000017;SKU002;Клавиатура механическая Redragon;Электроника;14;54184.2;30723.0;2024-06-09 11:30:00+00
SALE000018;SKU003;Монитор 24 дюйма Samsung;Электроника;6;72484.2;56116.8;2024-06-09 17:40:00+00
SALE000019;SKU004;USB-C кабель 1м;Аксессуары;40;15600;6552.0;2024-06-09 18:20:00+00
SALE000020;SKU005;Power Bank 20000 mAh;Аксессуары;13;32370;18450.9;2024-06-09 12:00:00+00
SALE000021;SKU006;Картридж HP 305;Расходники;12;18126.0;8967.6;2024-06-09 11:10:00+00
SALE000022;SKU007;Бумага А4 500 листов;Канцтовары;17;7140;4426.8;2024-06-09 17:50:00+00
SALE000023;SKU008;Ручки шариковые комплект;Канцтовары;28;6384.0;2620.8;2024-06-09 16:00:00+00
SALE000024;SKU009;SSD 1TB Kingston;Комплектующие;6;36993.0;26479.2;2024-06-09 12:00:00+00
SALE000025;SKU010;Оперативная память 16GB DDR4;Комплектующие;9;34110;21489.3;2024-06-09 17:10:00+00
SALE000026;SKU011;Роутер TP-Link Archer;Сетевое оборудование;6;18358.2;12041.4;2024-06-09 18:40:00+00
SALE000027;SKU012;Коммутатор 8 портов;Сетевое оборудование;7;14870.1;9198.0;2024-06-09 14:30:00+00
SALE000028;SKU013;Наушники JBL;Электроника;9;25026.3;15069.6;2024-06-09 19:00:00+00
SALE000029;SKU014;Веб-камера Full HD;Электроника;8;17520;9460.8;2024-06-09 13:30:00+00
SALE000030;SKU015;Коврик для мыши XL;Аксессуары;15;11850;5332.5;2024-06-09 19:40:00+00
SALE000031;SKU001;Беспроводная мышь Logitech;Электроника;22;31796.6;19012.4;2024-06-10 09:30:00+00
SALE000032;SKU002;Клавиатура механическая Redragon;Электроника;11;42573.3;24139.5;2024-06-10 20:50:00+00
SALE000033;SKU003;Монитор 24 дюйма Samsung;Электроника;7;84564.9;65469.6;2024-06-10 14:00:00+00
SALE000034;SKU004;USB-C кабель 1м;Аксессуары;30;11115.0;4914.0;2024-06-10 11:00:00+00
SALE000035;SKU005;Power Bank 20000 mAh;Аксессуары;15;35482.5;21289.5;2024-06-10 12:40:00+00
SALE000036;SKU006;Картридж HP 305;Расходники;28;42294.0;20924.4;2024-06-10 18:40:00+00
SALE000037;SKU007;Бумага А4 500 листов;Канцтовары;40;16800;10416.0;2024-06-10 19:50:00+00
SALE000038;SKU008;Ручки шариковые комплект;Канцтовары;32;7680;2995.2;2024-06-10 09:30:00+00
SALE000039;SKU009;SSD 1TB Kingston;Комплектующие;12;77880;52958.4;2024-06-10 10:10:00+00
SALE000040;SKU010;Оперативная память 16GB DDR4;Комплектующие;13;45821.1;31040.1;2024-06-10 13:40:00+00
SALE000041;SKU011;Роутер TP-Link Archer;Сетевое оборудование;15;49350;30103.5;2024-06-10 13:00:00+00
SALE000042;SKU012;Коммутатор 8 портов;Сетевое оборудование;8;17520;10512.0;2024-06-10 12:50:00+00
SALE000043;SKU013;Наушники JBL;Электроника;23;68770;38511.2;2024-06-10 19:30:00+00
SALE000044;SKU014;Веб-камера Full HD;Электроника;8;17520;9460.8;2024-06-10 20:30:00+00
SALE000045;SKU015;Коврик для мыши XL;Аксессуары;63;47281.5;22396.5;2024-06-10 09:20:00+00
SALE000046;SKU001;Беспроводная мышь Logitech;Электроника;23;34270;19876.6;2024-06-11 14:00:00+00
SALE000047;SKU002;Клавиатура механическая Redragon;Электроника;27;104498.1;59251.5;2024-06-11 18:50:00+00
SALE000048;SKU004;USB-C кабель 1м;Аксессуары;31;12090;5077.8;2024-06-11 12:10:00+00
SALE000049;SKU005;Power Bank 20000 mAh;Аксессуары;11;26568.3;15612.3;2024-06-11 19:40:00+00
SALE000050;SKU006;Картридж HP 305;Расходники;27;42930;20177.1;2024-06-11 11:40:00+00
SALE000051;SKU007;Бумага А4 500 листов;Канцтовары;45;18900;11718.0;2024-06-11 15:40:00+00
SALE000052;SKU008;Ручки шариковые комплект;Канцтовары;45;10476.0;4212.0;2024-06-11 09:40:00+00
SALE000053;SKU009;SSD 1TB Kingston;Комплектующие;17;110330;75024.4;2024-06-11 19:20:00+00
SALE000054;SKU010;Оперативная память 16GB DDR4;Комплектующие;14;53060;33427.8;2024-06-11 17:20:00+00
SALE000055;SKU011;Роутер TP-Link Archer;Сетевое оборудование;13;39776.1;26089.7;2024-06-11 15:50:00+00
SALE000056;SKU012;Коммутатор 8 портов;Сетевое оборудование;11;23367.3;14454.0;2024-06-11 17:00:00+00
SALE000057;SKU013;Наушники JBL;Электроника;13;37703.9;21767.2;2024-06-11 16:50:00+00
SALE000058;SKU014;Веб-камера Full HD;Электроника;8;16293.6;9460.8;2024-06-11 11:50:00+00
SALE000059;SKU015;Коврик для мыши XL;Аксессуары;14;11060;4977.0;2024-06-11 19:20:00+00
SALE000060;SKU001;Беспроводная мышь Logitech;Электроника;34;50660;29382.8;2024-06-12 16:40:00+00
SALE000061;SKU002;Клавиатура механическая Redragon;Электроника;15;59850;32917.5;2024-06-12 11:50:00+00
SALE000062;SKU003;Монитор 24 дюйма Samsung;Электроника;7;88202.1;65469.6;2024-06-12 09:40:00+00
SALE000063;SKU004;USB-C кабель 1м;Аксессуары;56;21184.8;9172.8;2024-06-12 18:50:00+00
SALE000064;SKU005;Power Bank 20000 mAh;Аксессуары;27;65213.1;38321.1;2024-06-12 11:50:00+00
SALE000065;SKU006;Картридж HP 305;Расходники;33;49846.5;24660.9;2024-06-12 16:50:00+00
SALE000066;SKU007;Бумага А4 500 листов;Канцтовары;34;14280;8853.6;2024-06-12 13:20:00+00
SALE000067;SKU008;Ручки шариковые комплект;Канцтовары;28;6249.6;2620.8;2024-06-12 12:00:00+00
SALE000068;SKU010;Оперативная память 16GB DDR4;Комплектующие;23;81068.1;54917.1;2024-06-12 09:40:00+00
SALE000069;SKU011;Роутер TP-Link Archer;Сетевое оборудование;12;36716.4;24082.8;2024-06-12 20:40:00+00
SALE000070;SKU012;Коммутатор 8 портов;Сетевое оборудование;9;19118.7;11826.0;2024-06-12 14:50:00+00
SALE000071;SKU013;Наушники JBL;Электроника;17;48288.5;28464.8;2024-06-12 17:00:00+00
SALE000072;SKU014;Веб-камера Full HD;Электроника;17;37230;20104.2;2024-06-12 19:30:00+00
SALE000073;SKU015;Коврик для мыши XL;Аксессуары;17;13430;6043.5;2024-06-12 14:30:00+00
SALE000074;SKU001;Беспроводная мышь Logitech;Электроника;27;37413.9;23333.4;2024-06-13 17:00:00+00
SALE000075;SKU002;Клавиатура механическая Redragon;Электроника;23;91770;50473.5;2024-06-13 09:40:00+00
SALE000076;SKU003;Монитор 24 дюйма Samsung;Электроника;3;38970;28058.4;2024-06-13 16:50:00+00
SALE000077;SKU004;USB-C кабель 1м;Аксессуары;53;20670;8681.4;2024-06-13 13:00:00+00
SALE000078;SKU005;Power Bank 20000 mAh;Аксессуары;30;72459.0;42579.0;2024-06-13 15:50:00+00
SALE000079;SKU006;Картридж HP 305;Расходники;17;27030;12704.1;2024-06-13 19:40:00+00
SALE000080;SKU007;Бумага А4 500 листов;Канцтовары;62;24217.2;16144.8;2024-06-13 14:00:00+00
SALE000081;SKU008;Ручки шариковые комплект;Канцтовары;34;8160;3182.4;2024-06-13 19:30:00+00
SALE000082;SKU009;SSD 1TB Kingston;Комплектующие;13;84370;57371.6;2024-06-13 18:40:00+00
SALE000083;SKU010;Оперативная память 16GB DDR4;Комплектующие;15;56850;35815.5;2024-06-13 10:20:00+00
SALE000084;SKU011;Роутер TP-Link Archer;Сетевое оборудование;15;46882.5;30103.5;2024-06-13 19:30:00+00
SALE000085;SKU012;Коммутатор 8 портов;Сетевое оборудование;7;15330;9198.0;2024-06-13 14:20:00+00
SALE000086;SKU013;Наушники JBL;Электроника;28;83720;46883.2;2024-06-13 17:10:00+00
SALE000087;SKU014;Веб-камера Full HD;Электроника;9;19710;10643.4;2024-06-13 10:20:00+00
SALE000088;SKU015;Коврик для мыши XL;Аксессуары;14;10507.0;4977.0;2024-06-13 14:30:00+00
SALE000089;SKU001;Беспроводная мышь Logitech;Электроника;26;37577.8;22469.2;2024-06-14 13:20:00+00
SALE000090;SKU002;Клавиатура механическая Redragon;Электроника;15;59850;32917.5;2024-06-14 20:40:00+00
SALE000091;SKU003;Монитор 24 дюйма Samsung;Электроника;5;64950;46764.0;2024-06-14 12:20:00+00
SALE000092;SKU004;USB-C кабель 1м;Аксессуары;83;32370;13595.4;2024-06-14 09:00:00+00
SALE000093;SKU005;Power Bank 20000 mAh;Аксессуары;25;62250;35482.5;2024-06-14 18:20:00+00
SALE000094;SKU006;Картридж HP 305;Расходники;19;30210;14198.7;2024-06-14 13:30:00+00
SALE000095;SKU007;Бумага А4 500 листов;Канцтовары;55;23100;14322.0;2024-06-14 10:10:00+00
SALE000096;SKU008;Ручки шариковые комплект;Канцтовары;51;11628.0;4773.6;2024-06-14 15:30:00+00
SALE000097;SKU009;SSD 1TB Kingston;Комплектующие;15;90535.5;66198.0;2024-06-14 10:10:00+00
SALE000098;SKU010;Оперативная память 16GB DDR4;Комплектующие;15;56850;35815.5;2024-06-14 11:40:00+00
SALE000099;SKU011;Роутер TP-Link Archer;Сетевое оборудование;13;39776.1;26089.7;2024-06-14 16:00:00+00
SALE000100;SKU012;Коммутатор 8 портов;Сетевое оборудование;18;39420;23652.0;2024-06-14 15:00:00+00
SALE000101;SKU013;Наушники JBL;Электроника;18;53820;30139.2;2024-06-14 13:40:00+00
SALE000102;SKU014;Веб-камера Full HD;Электроника;13;28470;15373.8;2024-06-14 16:50:00+00
SALE000103;SKU015;Коврик для мыши XL;Аксессуары;17;12758.5;6043.5;2024-06-14 09:30:00+00
SALE000104;SKU001;Беспроводная мышь Logitech;Электроника;27;40230;23333.4;2024-06-15 19:40:00+00
