id;product_id;product_name;category;quantity;revenue;cost;sold_at
SALE001001;SKU015;Коврик для мыши XL;Аксессуары;16;12640;5688.0;2024-08-14 09:00:00+00
SALE001002;SKU001;Беспроводная мышь Logitech;Электроника;43;64070;37160.6;2024-08-15 20:30:00+00
SALE001003;SKU002;Клавиатура механическая Redragon;Электроника;13;48239.1;28528.5;2024-08-15 10:30:00+00
SALE001004;SKU003;Монитор 24 дюйма Samsung;Электроника;6;72484.2;56116.8;2024-08-15 18:40:00+00
SALE001005;SKU004;USB-C кабель 1м;Аксессуары;75;27202.5;12285.0;2024-08-15 18:50:00+00
SALE001006;SKU005;Power Bank 20000 mAh;Аксессуары;21;52290;29805.3;2024-08-15 14:40:00+00
SALE001007;SKU006;Картридж HP 305;Расходники;34;52438.2;25408.2;2024-08-15 10:00:00+00
SALE001008;SKU007;Бумага А4 500 листов;Канцтовары;82;32718.0;21352.8;2024-08-15 15:40:00+00
SALE001009;SKU008;Ручки шариковые комплект;Канцтовары;43;10010.4;4024.8;2024-08-15 20:30:00+00
SALE001010;SKU009;SSD 1TB Kingston;Комплектующие;12;75543.6;52958.4;2024-08-15 20:30:00+00
SALE001011;SKU010;Оперативная память 16GB DDR4;Комплектующие;9;33086.7;21489.3;2024-08-15 09:50:00+00
SALE001012;SKU011;Роутер TP-Link Archer;Сетевое оборудование;11;36190;22075.9;2024-08-15 18:30:00+00
SALE001013;SKU012;Коммутатор 8 портов;Сетевое оборудование;8;17520;10512.0;2024-08-15 14:20:00+00
SALE001014;SKU013;Наушники JBL;Электроника;10;29900;16744.0;2024-08-15 12:10:00+00
SALE001015;SKU014;Веб-камера Full HD;Электроника;12;25491.6;14191.2;2024-08-15 16:40:00+00
SALE001016;SKU015;Коврик для мыши XL;Аксессуары;29;22222.7;10309.5;2024-08-15 16:50:00+00
SALE001017;SKU001;Беспроводная мышь Logitech;Электроника;30;41571.0;25926.0;2024-08-16 16:10:00+00
SALE001018;SKU002;Клавиатура механическая Redragon;Электроника;17;63081.9;37306.5;2024-08-16 18:30:00+00
SALE001019;SKU004;USB-C кабель 1м;Аксессуары;65;25350;10647.0;2024-08-16 18:50:00+00
SALE001020;SKU005;Power Bank 20000 mAh;Аксессуары;35;87150;49675.5;2024-08-16 19:40:00+00
SALE001021;SKU006;Картридж HP 305;Расходники;17;25678.5;12704.1;2024-08-16 09:00:00+00
SALE001022;SKU007;Бумага А4 500 листов;Канцтовары;79;33180;20571.6;2024-08-16 12:10:00+00
SALE001023;SKU008;Ручки шариковые комплект;Канцтовары;46;10708.8;4305.6;2024-08-16 09:20:00+00
SALE001024;SKU009;SSD 1TB Kingston;Комплектующие;14;90860;61784.8;2024-08-16 10:00:00+00
SALE001025;SKU010;Оперативная память 16GB DDR4;Комплектующие;16;56395.2;38203.2;2024-08-16 11:00:00+00
SALE001026;SKU011;Роутер TP-Link Archer;Сетевое оборудование;22;72380;44151.8;2024-08-16 13:30:00+00
SALE001027;SKU012;Коммутатор 8 портов;Сетевое оборудование;14;30660;18396.0;2024-08-16 18:40:00+00
SALE001028;SKU013;Наушники JBL;Электроника;13;38870;21767.2;2024-08-16 13:00:00+00
SALE001029;SKU014;Веб-камера Full HD;Электроника;12;26280;14191.2;2024-08-16 13:40:00+00
SALE001030;SKU015;Коврик для мыши XL;Аксессуары;21;16590;7465.5;2024-08-16 18:30:00+00
SALE001031;SKU001;Беспроводная мышь Logitech;Электроника;20;28310.0;17284.0;2024-08-17 11:10:00+00
SALE001032;SKU002;Клавиатура механическая Redragon;Электроника;12;46443.6;26334.0;2024-08-17 09:00:00+00
SALE001033;SKU004;USB-C кабель 1м;Аксессуары;34;12331.8;5569.2;2024-08-17 12:40:00+00
SALE001034;SKU005;Power Bank 20000 mAh;Аксессуары;7;16558.5;9935.1;2024-08-17 18:00:00+00
